fabricante,modelo,codigo_modelo,url_modelo,href_original,texto_link,params
Alfa Romeo,166,166,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=166,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=166,166,"{'fabricante': ['Alfa Romeo'], 'modelo': ['166']}"
Alfa Romeo,2300,2300,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=2300,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=2300,2300,"{'fabricante': ['Alfa Romeo'], 'modelo': ['2300']}"
Alfa Romeo,Spider,Spider,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=Spider,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=Spider,Spider,"{'fabricante': ['Alfa Romeo'], 'modelo': ['Spider']}"
Ariel,Atom,Atom,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ariel&modelo=Atom,catalogomodelo.asp?fabricante=Ariel&modelo=Atom,Atom,"{'fabricante': ['Ariel'], 'modelo': ['Atom']}"
Asia,Rocsta,Rocsta,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Asia&modelo=Rocsta,catalogomodelo.asp?fabricante=Asia&modelo=Rocsta,Rocsta,"{'fabricante': ['Asia'], 'modelo': ['Rocsta']}"
Asia,Topic,Topic,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Asia&modelo=Topic,catalogomodelo.asp?fabricante=Asia&modelo=Topic,Topic,"{'fabricante': ['Asia'], 'modelo': ['Topic']}"
Asia,Towner,Towner,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Asia&modelo=Towner,catalogomodelo.asp?fabricante=Asia&modelo=Towner,Towner,"{'fabricante': ['Asia'], 'modelo': ['Towner']}"
Aston Martin,DB11,DB11,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DB11,catalogomodelo.asp?fabricante=Aston Martin&modelo=DB11,DB11,"{'fabricante': ['Aston Martin'], 'modelo': ['DB11']}"
Aston Martin,DB12,DB12,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DB12,catalogomodelo.asp?fabricante=Aston Martin&modelo=DB12,DB12,"{'fabricante': ['Aston Martin'], 'modelo': ['DB12']}"
Aston Martin,DB7,DB7,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DB7,catalogomodelo.asp?fabricante=Aston Martin&modelo=DB7,DB7,"{'fabricante': ['Aston Martin'], 'modelo': ['DB7']}"
